path,group,kind,archetype,loc,classes,enums,role,widget_bases,imports_count,features,animation_controller,animated_container,animated_switcher,animated_opacity,animated_scale,animated_size,tween_animation_builder,hero,fade_transition,slide_transition,scale_transition,rotation_transition,show_dialog,bottom_sheet,haptic,system_sound,audio_package,raw_duration,raw_color,colors_direct,app_motion,ticker,semantics,media_query,text_scale,repaint_boundary,image_asset,nabi,refresh_indicator,dismissible,implicit_animation
lib/app/app_surface_controller.dart,01_foundation_shell,app_shell,Adaptive application shell,32,AppSurfaceController,AppSurface,AppSurfaceController,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/app/bio_ai_app.dart,01_foundation_shell,app_shell,Adaptive application shell,104,BioAIApp|_AccessResolvingApp,,BioAIApp / _AccessResolvingApp,ConsumerWidget|StatelessWidget,9,text_scale|nabi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0
lib/app_versions/admin/app/bio_ai_admin_app.dart,01_foundation_shell,app_shell,Adaptive application shell,35,BioAIAdminApp,,BioAIAdminApp,ConsumerWidget,7,text_scale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
lib/app_versions/admin/features/admin_panel/presentation/controllers/admin_access_controller.dart,11_sale_admin,controller,UI state/support contract,109,AdminAccessController,,AdminAccessController,,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/app_versions/admin/features/admin_panel/presentation/controllers/admin_controller.dart,11_sale_admin,controller,UI state/support contract,338,AdminLoginFailure|AdminPanelState|AdminController,,AdminLoginFailure / AdminPanelState / AdminController,,5,nabi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
lib/app_versions/admin/features/admin_panel/presentation/pages/admin_login_page.dart,11_sale_admin,page,Operational workspace,618,AdminLoginPage|_AdminLoginPageState|_WideLoginLayout|_CompactLoginLayout|_LoginIntroPanel|_IntroBrandMark|_LoginFeatureChip|_LoginFormCard|_FormHeader|_EmailInput|_PasswordInput|_SubmitButton|_FormFooter,,AdminLoginPage / _AdminLoginPageState / _WideLoginLayout / _CompactLoginLayout,ConsumerStatefulWidget|StatefulWidget|StatelessWidget,7,animated_switcher|fade_transition|scale_transition|app_motion|semantics|media_query|implicit_animation,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,1
lib/app_versions/admin/features/admin_panel/presentation/pages/admin_shell_page.dart,11_sale_admin,page,Operational workspace,3874,AdminShellPage|_AdminShellPageState|_AdminAmbientBackdrop|_AdminAmbientBackdropState|_AmbientOrb|_LoadingScaffold|_LoadingPanel|_AdminStateScaffold|_AdminSideBar|_SideRailLabel|_SideRailProtectionNotice|_AdminDrawer|_AdminBrand|_DrawerBrand|_AdminNavButton|_AdminNavButtonState|_SideActionButton|_TopBar|_SecurityPill|_TopBarTitle|_SearchField|_TopBarActions|_TopBarIconAction|_PaymentReviewAlertBanner|_AdminContent|_DashboardView|_AdminOverviewPanel|_HeroGlow|_OverviewBadge|_ResponsiveGrid|_MetricCard|_ShortcutCard|_WorkQueueView|_QueueSummaryBanner|_WorkItemRow|_PaymentReconciliationDetail|_SaleConversionPayoutDetail|_PayoutLine|_WorkItemText|_ActionWrap|_AdminActionButton|_AuditView|_AuditNoticeBanner|_AuditRow|_ReasonDialog|_ReasonDialogState|_AdminGuideDialog|_GuideSection|_InteractivePanel|_InteractivePanelState|_IconBadge|_StatusChip|_MetaPill|_SectionTitle|_EmptyPanel|_PermissionDeniedPanel|_BlockingState|_AdminAction,,AdminShellPage / _AdminShellPageState / _AdminAmbientBackdrop / _AdminAmbientBackdropState,ConsumerStatefulWidget|StatefulWidget|StatelessWidget,16,animation_controller|animated_container|animated_switcher|animated_opacity|animated_scale|fade_transition|slide_transition|colors_direct|app_motion|ticker|semantics|media_query|repaint_boundary|nabi,2,4,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,9,1,1,1,0,2,0,5,0,0,0
lib/app_versions/admin/features/admin_panel/presentation/widgets/admin_access_gate.dart,11_sale_admin,widget,Operational workspace,109,AdminAccessGate|_AdminAccessGateState|_AdminChecking|_AdminSupport,,AdminAccessGate / _AdminAccessGateState / _AdminChecking / _AdminSupport,ConsumerStatefulWidget|StatefulWidget|StatelessWidget,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/app_versions/admin/features/wellness_rewards/presentation/admin_wellness_rewards_panel.dart,11_sale_admin,presentation_support,UI state/support contract,856,AdminWellnessRewardsPanel|_AdminWellnessRewardsPanelState|_AdminRewardMetrics|_AdminOfferCard|_AdminRedemptionCard|_DateRow,,AdminWellnessRewardsPanel / _AdminWellnessRewardsPanelState / _AdminRewardMetrics / _AdminOfferCard,ConsumerStatefulWidget|StatefulWidget|StatelessWidget,7,nabi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
lib/app_versions/admin/router/admin_route_paths.dart,01_foundation_shell,router,Spatial navigation orchestration,15,AdminRoutePaths,,AdminRoutePaths,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
