id,module,state,fps,frame_count,seconds,frames_path,spritesheet,description
NABI_ANIM_001_happy_idle_breathing,01_core,vui,30,30,1.0,01_character/02_30fps_frames/01_core/NABI_ANIM_001_happy_idle_breathing,02_spritesheets/01_core/NABI_ANIM_001_happy_idle_breathing_SPRITESHEET_10x3.png,Idle thở nhẹ
NABI_ANIM_002_happy_wave_right,01_core,vui,30,30,1.0,01_character/02_30fps_frames/01_core/NABI_ANIM_002_happy_wave_right,02_spritesheets/01_core/NABI_ANIM_002_happy_wave_right_SPRITESHEET_10x3.png,Vẫy tay phải
NABI_ANIM_003_happy_jump_pop,01_core,vui,30,30,1.0,01_character/02_30fps_frames/01_core/NABI_ANIM_003_happy_jump_pop,02_spritesheets/01_core/NABI_ANIM_003_happy_jump_pop_SPRITESHEET_10x3.png,Nhảy vui
NABI_ANIM_004_happy_heart_send,01_core,vui,30,30,1.0,01_character/02_30fps_frames/01_core/NABI_ANIM_004_happy_heart_send,02_spritesheets/01_core/NABI_ANIM_004_happy_heart_send_SPRITESHEET_10x3.png,Gửi tim
NABI_ANIM_005_success_confetti_dance,01_core,vui,30,30,1.0,01_character/02_30fps_frames/01_core/NABI_ANIM_005_success_confetti_dance,02_spritesheets/01_core/NABI_ANIM_005_success_confetti_dance_SPRITESHEET_10x3.png,Ăn mừng
NABI_ANIM_006_sad_sigh_slow,02_emotion,buồn,30,30,1.0,01_character/02_30fps_frames/02_emotion/NABI_ANIM_006_sad_sigh_slow,02_spritesheets/02_emotion/NABI_ANIM_006_sad_sigh_slow_SPRITESHEET_10x3.png,Thở dài
NABI_ANIM_007_sad_look_down,02_emotion,buồn,30,30,1.0,01_character/02_30fps_frames/02_emotion/NABI_ANIM_007_sad_look_down,02_spritesheets/02_emotion/NABI_ANIM_007_sad_look_down_SPRITESHEET_10x3.png,Cúi đầu
NABI_ANIM_008_pout_cheek_turn,02_emotion,giận_dỗi,30,30,1.0,01_character/02_30fps_frames/02_emotion/NABI_ANIM_008_pout_cheek_turn,02_spritesheets/02_emotion/NABI_ANIM_008_pout_cheek_turn_SPRITESHEET_10x3.png,Phồng má
NABI_ANIM_009_pout_cross_arm,02_emotion,giận_dỗi,30,30,1.0,01_character/02_30fps_frames/02_emotion/NABI_ANIM_009_pout_cross_arm,02_spritesheets/02_emotion/NABI_ANIM_009_pout_cross_arm_SPRITESHEET_10x3.png,Giận dỗi khoanh tay
NABI_ANIM_010_angry_small_stomp,02_emotion,tức_giận,30,30,1.0,01_character/02_30fps_frames/02_emotion/NABI_ANIM_010_angry_small_stomp,02_spritesheets/02_emotion/NABI_ANIM_010_angry_small_stomp_SPRITESHEET_10x3.png,Dậm chân
